Survey,Year,Quarter,Area,SubArea,AphiaID,Species,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,DateofCalculation
NS-IBTS,2012,1,1,45F1,127143,Pleuronectes platessa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,45F2,126417,Clupea harengus,0.0000,0.0000,3.3468,16.9338,2.2490,3.4704,,,,,,20170922
NS-IBTS,2012,1,1,45F2,126425,Sprattus sprattus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,45F2,126436,Gadus morhua,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9700,,,,,20170922
NS-IBTS,2012,1,1,45F2,126437,Melanogrammus aeglefinus,0.0000,9.8645,8.6830,24.4129,1.4683,0.4962,0.5801,,,,,20170922
NS-IBTS,2012,1,1,45F2,126438,Merlangius merlangus,0.0000,10.8051,74.3230,17.3144,2.9516,0.4494,0.1515,,,,,20170922
NS-IBTS,2012,1,1,45F2,126441,Pollachius virens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,45F2,126444,Trisopterus esmarkii,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,45F2,127023,Scomber scombrus,0.0000,428.4355,4.1144,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,45F2,127143,Pleuronectes platessa,0.0000,0.0000,0.0000,0.8667,0.7000,0.8647,0.1667,0.2111,0.1111,0.2324,0.8174,20170922
NS-IBTS,2012,1,1,45F3,126417,Clupea harengus,0.0000,0.0000,13.8286,4.2942,0.4819,0.3953,,,,,,20170922
NS-IBTS,2012,1,1,45F3,126425,Sprattus sprattus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,45F3,126436,Gadus morhua,0.0000,3.6667,0.3333,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,45F3,126437,Melanogrammus aeglefinus,0.0000,15.6110,62.1735,293.3201,15.8804,6.8381,6.1769,,,,,20170922
NS-IBTS,2012,1,1,45F3,126438,Merlangius merlangus,0.0000,2.3182,67.4794,32.3070,11.2019,1.7324,0.9611,,,,,20170922
NS-IBTS,2012,1,1,45F3,126441,Pollachius virens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,45F3,126444,Trisopterus esmarkii,0.0000,313.4778,120.4914,50.1530,0.8778,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,45F3,127023,Scomber scombrus,0.0000,5.0000,2.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,45F3,127143,Pleuronectes platessa,0.0000,0.0000,0.0000,0.6667,0.1667,0.0000,0.4167,0.3750,0.3750,0.2500,0.7500,20170922
NS-IBTS,2012,1,1,45F4,126417,Clupea harengus,0.0000,0.5000,22.9191,14.1302,2.4765,13.9742,,,,,,20170922
NS-IBTS,2012,1,1,45F4,126425,Sprattus sprattus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,45F4,126436,Gadus morhua,0.0000,3.0000,3.0363,17.4358,6.5569,1.6377,4.3333,,,,,20170922
NS-IBTS,2012,1,1,45F4,126437,Melanogrammus aeglefinus,0.0000,4.1875,8.4516,72.2106,11.2904,5.5818,9.2781,,,,,20170922
NS-IBTS,2012,1,1,45F4,126438,Merlangius merlangus,0.0000,0.0000,13.1951,17.4009,12.7170,3.4766,2.2104,,,,,20170922
NS-IBTS,2012,1,1,45F4,126441,Pollachius virens,0.0000,0.0000,0.0000,4.5141,41.1904,139.1167,37.8852,9.0936,0.2000,0.4286,1.5714,20170922
NS-IBTS,2012,1,1,45F4,126444,Trisopterus esmarkii,0.0000,991.8153,106.8752,82.5207,20.5160,0.1364,0.1364,,,,,20170922
NS-IBTS,2012,1,1,45F4,127023,Scomber scombrus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,45F4,127143,Pleuronectes platessa,0.0000,0.0000,1.0000,1.1667,0.7917,0.5000,0.2917,0.0000,0.0000,0.2500,0.0000,20170922
NS-IBTS,2012,1,1,46F0,126417,Clupea harengus,0.0000,0.0000,33.4747,151.8919,20.7703,43.3631,,,,,,20170922
NS-IBTS,2012,1,1,46F0,126425,Sprattus sprattus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,46F0,126436,Gadus morhua,0.0000,0.0000,1.3187,1.6287,0.0526,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,46F0,126437,Melanogrammus aeglefinus,0.0000,3.5000,59.5650,330.6635,19.4522,7.9375,8.8817,,,,,20170922
NS-IBTS,2012,1,1,46F0,126438,Merlangius merlangus,0.0000,6.0455,128.3570,139.4447,82.9969,19.0455,12.6104,,,,,20170922
NS-IBTS,2012,1,1,46F0,126441,Pollachius virens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,46F0,126444,Trisopterus esmarkii,0.0000,5914.5898,485.9145,418.3042,12.1914,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,46F0,127023,Scomber scombrus,0.0000,1.0256,17.1880,0.7863,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,46F0,127143,Pleuronectes platessa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,46F1,126417,Clupea harengus,0.0000,0.0000,326.8600,643.7875,47.8738,66.4786,,,,,,20170922
NS-IBTS,2012,1,1,46F1,126425,Sprattus sprattus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,46F1,126436,Gadus morhua,0.0000,1.1667,4.6726,2.9340,1.0267,0.2000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,46F1,126437,Melanogrammus aeglefinus,0.0000,27.3811,216.9736,875.3698,35.8319,11.8127,13.1309,,,,,20170922
NS-IBTS,2012,1,1,46F1,126438,Merlangius merlangus,0.0000,5.2182,228.8863,195.3422,79.4281,12.2813,7.8439,,,,,20170922
NS-IBTS,2012,1,1,46F1,126441,Pollachius virens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,46F1,126444,Trisopterus esmarkii,0.0000,2439.0825,390.1792,404.7339,21.5499,0.2273,0.2273,,,,,20170922
NS-IBTS,2012,1,1,46F1,127023,Scomber scombrus,0.0000,8.8147,83.3434,1.7419,0.3000,0.1000,0.2000,,,,,20170922
NS-IBTS,2012,1,1,46F1,127143,Pleuronectes platessa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,46F2,126417,Clupea harengus,0.0000,0.0000,6.1133,6.7468,0.2811,0.8588,,,,,,20170922
NS-IBTS,2012,1,1,46F2,126425,Sprattus sprattus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,46F2,126436,Gadus morhua,0.0000,0.0714,0.6429,0.2857,1.9750,3.7000,1.3250,,,,,20170922
NS-IBTS,2012,1,1,46F2,126437,Melanogrammus aeglefinus,0.0000,39.4979,56.9262,204.3030,7.7584,3.0619,2.9526,,,,,20170922
NS-IBTS,2012,1,1,46F2,126438,Merlangius merlangus,0.0000,6.3856,282.5264,153.0136,46.3012,6.7691,5.0040,,,,,20170922
NS-IBTS,2012,1,1,46F2,126441,Pollachius virens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,46F2,126444,Trisopterus esmarkii,0.0000,395.7154,129.0088,66.5274,1.2484,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,46F2,127023,Scomber scombrus,0.0000,2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,46F2,127143,Pleuronectes platessa,0.0000,0.0000,0.0000,0.0000,0.6667,0.4444,0.0000,0.2222,0.2222,1.2222,1.2222,20170922
NS-IBTS,2012,1,1,46F3,126417,Clupea harengus,0.0000,0.0000,11.5216,27.5041,4.5116,14.4627,,,,,,20170922
NS-IBTS,2012,1,1,46F3,126425,Sprattus sprattus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,46F3,126436,Gadus morhua,0.0000,0.3333,10.8791,13.6061,3.3565,3.3667,0.4583,,,,,20170922
NS-IBTS,2012,1,1,46F3,126437,Melanogrammus aeglefinus,0.0000,0.0000,5.4336,54.9289,7.1820,3.5701,4.8854,,,,,20170922
NS-IBTS,2012,1,1,46F3,126438,Merlangius merlangus,0.0000,0.0000,21.7994,68.6064,69.1230,19.8219,12.6593,,,,,20170922
NS-IBTS,2012,1,1,46F3,126441,Pollachius virens,0.0000,0.0000,0.0000,25.9027,84.9021,233.8116,7.7892,1.0944,0.0000,0.2500,0.2500,20170922
NS-IBTS,2012,1,1,46F3,126444,Trisopterus esmarkii,0.0000,1777.5291,605.9885,589.3068,27.9433,0.8636,0.8636,,,,,20170922
NS-IBTS,2012,1,1,46F3,127023,Scomber scombrus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,46F3,127143,Pleuronectes platessa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,47E8,126417,Clupea harengus,0.0000,30.5000,6.1511,39.4118,5.8604,12.0767,,,,,,20170922
NS-IBTS,2012,1,1,47E8,126425,Sprattus sprattus,0.0000,0.7606,1.2113,0.0282,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,47E8,126436,Gadus morhua,0.0000,1.0000,8.1085,31.2894,9.2606,1.8831,0.4583,,,,,20170922
NS-IBTS,2012,1,1,47E8,126437,Melanogrammus aeglefinus,0.0000,1.2692,86.2179,482.8855,30.2849,12.6738,14.1687,,,,,20170922
NS-IBTS,2012,1,1,47E8,126438,Merlangius merlangus,0.0000,0.0455,18.3066,24.8721,25.0525,7.8882,5.8351,,,,,20170922
NS-IBTS,2012,1,1,47E8,126441,Pollachius virens,0.0000,1.0000,0.0000,4.1758,0.9194,0.9048,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,47E8,126444,Trisopterus esmarkii,0.0000,72.6379,2.5110,3.7569,0.0942,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,47E8,127023,Scomber scombrus,0.0000,5.0256,6.9744,0.4545,0.0000,0.1818,0.3636,,,,,20170922
NS-IBTS,2012,1,1,47E8,127143,Pleuronectes platessa,0.0000,0.0000,1.0000,13.2202,22.3016,25.4067,4.6250,15.4821,10.7024,11.3313,24.9306,20170922
NS-IBTS,2012,1,1,47E9,126417,Clupea harengus,0.0000,0.0000,350.5131,5767.7951,661.2358,1269.9559,,,,,,20170922
NS-IBTS,2012,1,1,47E9,126425,Sprattus sprattus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,47E9,126436,Gadus morhua,0.0000,0.0000,10.7961,25.7830,6.2684,1.4650,0.1875,,,,,20170922
NS-IBTS,2012,1,1,47E9,126437,Melanogrammus aeglefinus,0.0000,15.8423,88.5402,474.5819,21.3331,6.1842,6.5183,,,,,20170922
NS-IBTS,2012,1,1,47E9,126438,Merlangius merlangus,0.0000,0.0000,59.0140,270.1229,325.8502,109.2817,77.7312,,,,,20170922
NS-IBTS,2012,1,1,47E9,126441,Pollachius virens,0.0000,0.0000,2.6799,101.8326,22.6686,11.4364,0.6325,0.2500,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,47E9,126444,Trisopterus esmarkii,0.0000,3263.1859,1442.6364,2542.6407,96.5825,0.9773,0.9773,,,,,20170922
NS-IBTS,2012,1,1,47E9,127023,Scomber scombrus,0.0000,341.0510,437.9490,2.8636,0.0000,0.5455,1.0909,,,,,20170922
NS-IBTS,2012,1,1,47E9,127143,Pleuronectes platessa,0.0000,0.0000,0.0000,1.6468,2.3631,2.1290,0.8750,0.5625,0.6736,0.7500,6.0000,20170922
NS-IBTS,2012,1,1,47F0,126417,Clupea harengus,0.0000,0.0000,2.0196,39.0598,5.1818,15.7388,,,,,,20170922
NS-IBTS,2012,1,1,47F0,126425,Sprattus sprattus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,47F0,126436,Gadus morhua,0.0000,0.0000,1.0350,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,47F0,126437,Melanogrammus aeglefinus,0.0000,0.3125,8.4218,54.8053,3.4073,1.2171,1.1160,,,,,20170922
NS-IBTS,2012,1,1,47F0,126438,Merlangius merlangus,0.0000,0.0000,15.9421,39.3442,35.8388,9.5030,6.9019,,,,,20170922
NS-IBTS,2012,1,1,47F0,126441,Pollachius virens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,47F0,126444,Trisopterus esmarkii,0.0000,1538.6674,1066.5480,1428.7083,57.6035,2.7414,2.7414,,,,,20170922
NS-IBTS,2012,1,1,47F0,127023,Scomber scombrus,0.0000,15.4372,7.0877,0.4000,0.3000,0.1000,0.2000,,,,,20170922
NS-IBTS,2012,1,1,47F0,127143,Pleuronectes platessa,0.0000,0.0000,0.0000,0.2588,0.7763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,47F1,126417,Clupea harengus,0.0000,0.0000,169.7428,588.2698,42.9708,52.0166,,,,,,20170922
NS-IBTS,2012,1,1,47F1,126425,Sprattus sprattus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,47F1,126436,Gadus morhua,0.0000,0.1429,10.6920,10.1606,1.6273,0.3772,0.0000,,,,,20170922
NS-IBTS,2012,1,1,47F1,126437,Melanogrammus aeglefinus,0.0000,9.0774,168.3696,891.7543,68.1400,35.2127,33.4710,,,,,20170922
NS-IBTS,2012,1,1,47F1,126438,Merlangius merlangus,0.0000,0.1214,32.1747,105.5357,116.6813,35.5819,24.9049,,,,,20170922
NS-IBTS,2012,1,1,47F1,126441,Pollachius virens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,47F1,126444,Trisopterus esmarkii,0.0000,371.3771,261.9430,186.4240,6.3972,0.1818,0.1818,,,,,20170922
NS-IBTS,2012,1,1,47F1,127023,Scomber scombrus,0.0000,741.8542,793.9780,5.1678,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,47F1,127143,Pleuronectes platessa,0.0000,0.0000,0.0000,0.0000,0.4000,0.2000,0.1000,0.0000,0.2000,0.1000,0.0000,20170922
NS-IBTS,2012,1,1,47F2,126417,Clupea harengus,0.0000,0.0000,6.3519,33.9029,3.5691,6.1760,,,,,,20170922
NS-IBTS,2012,1,1,47F2,126425,Sprattus sprattus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,47F2,126436,Gadus morhua,0.0000,0.0000,0.7333,0.2667,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,47F2,126437,Melanogrammus aeglefinus,0.0000,4.5485,8.0560,80.9124,9.5779,6.1314,7.7737,,,,,20170922
NS-IBTS,2012,1,1,47F2,126438,Merlangius merlangus,0.0000,0.0000,11.5261,21.1567,13.8930,3.0397,2.3845,,,,,20170922
NS-IBTS,2012,1,1,47F2,126441,Pollachius virens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,47F2,126444,Trisopterus esmarkii,0.0000,1393.9524,256.6388,158.5275,4.3813,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,47F2,127023,Scomber scombrus,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,47F2,127143,Pleuronectes platessa,0.0000,0.0000,0.0000,0.2500,0.0000,0.3750,0.1250,0.0000,0.0000,1.2500,1.0000,20170922
NS-IBTS,2012,1,1,47F3,126417,Clupea harengus,0.0000,0.0000,1.1780,8.7788,0.4662,3.4369,,,,,,20170922
NS-IBTS,2012,1,1,47F3,126425,Sprattus sprattus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,47F3,126436,Gadus morhua,0.0000,0.0000,2.3584,19.9452,8.6573,1.9958,0.3333,,,,,20170922
NS-IBTS,2012,1,1,47F3,126437,Melanogrammus aeglefinus,0.0000,0.0000,0.6592,5.1603,0.5375,0.3268,0.3162,,,,,20170922
NS-IBTS,2012,1,1,47F3,126438,Merlangius merlangus,0.0000,0.0000,1.9458,10.3487,21.6763,14.4155,12.6136,,,,,20170922
NS-IBTS,2012,1,1,47F3,126441,Pollachius virens,0.0000,0.0000,0.0819,10.4102,28.1850,80.1052,7.3577,0.5000,0.5333,0.2000,3.0667,20170922
NS-IBTS,2012,1,1,47F3,126444,Trisopterus esmarkii,0.0000,1435.2590,165.9115,88.2405,2.2889,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,47F3,127023,Scomber scombrus,0.0000,1.4300,0.0000,0.0000,0.0000,0.0000,2.0000,,,,,20170922
NS-IBTS,2012,1,1,47F3,127143,Pleuronectes platessa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,48E7,126417,Clupea harengus,0.0000,0.0000,0.4701,17.3872,5.8918,23.2508,,,,,,20170922
NS-IBTS,2012,1,1,48E7,126425,Sprattus sprattus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,48E7,126436,Gadus morhua,0.0000,0.0714,13.7938,62.8537,11.0260,3.2134,1.0417,,,,,20170922
NS-IBTS,2012,1,1,48E7,126437,Melanogrammus aeglefinus,0.0000,0.3125,169.3530,1109.7806,79.2484,34.2438,39.0617,,,,,20170922
NS-IBTS,2012,1,1,48E7,126438,Merlangius merlangus,0.0000,1.0091,381.3346,428.3348,235.0311,47.8409,29.4495,,,,,20170922
NS-IBTS,2012,1,1,48E7,126441,Pollachius virens,0.0000,0.0000,12.2825,233.7384,6.9458,0.0333,0.0000,0.0000,0.0000,0.0000,0.0000,20170922
NS-IBTS,2012,1,1,48E7,126444,Trisopterus esmarkii,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,48E7,127023,Scomber scombrus,0.0000,13.1795,12.8205,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,48E7,127143,Pleuronectes platessa,0.0000,0.0000,1.6667,7.7548,9.5290,9.7548,1.9917,4.8020,2.6877,3.8607,7.9528,20170922
NS-IBTS,2012,1,1,48E8,126417,Clupea harengus,0.0000,3.0000,1.0262,14.4144,1.6158,6.9436,,,,,,20170922
NS-IBTS,2012,1,1,48E8,126425,Sprattus sprattus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,48E8,126436,Gadus morhua,0.0000,0.5000,7.2010,47.6840,16.6377,2.6439,0.3333,,,,,20170922
NS-IBTS,2012,1,1,48E8,126437,Melanogrammus aeglefinus,0.0000,6.0783,43.9124,303.1546,27.1945,12.5091,18.1510,,,,,20170922
NS-IBTS,2012,1,1,48E8,126438,Merlangius merlangus,0.0000,0.0455,28.7949,34.5685,21.2446,5.7494,3.5971,,,,,20170922
NS-IBTS,2012,1,1,48E8,126441,Pollachius virens,0.0000,0.0000,0.4432,39.0478,11.1416,5.5028,0.0313,0.3333,0.0000,0.0000,0.5000,20170922
NS-IBTS,2012,1,1,48E8,126444,Trisopterus esmarkii,0.0000,1133.9025,27.9926,16.7839,1.2301,0.0455,0.0455,,,,,20170922
NS-IBTS,2012,1,1,48E8,127023,Scomber scombrus,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,48E8,127143,Pleuronectes platessa,0.0000,0.0000,0.6667,8.4345,17.7218,12.6933,3.7583,5.1409,5.4433,6.5163,8.6250,20170922
NS-IBTS,2012,1,1,48E9,126417,Clupea harengus,0.0000,0.0000,60.3527,909.1514,117.8846,211.6113,,,,,,20170922
NS-IBTS,2012,1,1,48E9,126425,Sprattus sprattus,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,20170922
NS-IBTS,2012,1,1,48E9,126436,Gadus morhua,0.0000,0.0000,5.8011,21.6602,8.3396,2.8241,0.3750,,,,,20170922
NS-IBTS,2012,1,1,48E9,126437,Melanogrammus aeglefinus,0.0000,3.3750,62.2862,427.4911,33.0455,14.1272,15.6749,,,,,20170922
NS-IBTS,2012,1,1,48E9,126438,Merlangius merlangus,0.0000,0.0455,26.1463,132.1545,201.0013,74.7771,58.8753,,,,,20170922
